PAN_no,income,cibil_score,bank_account_number,card_type
Llqk5280G,933396,765,IIMQ77483756167197,Credit
fuTH7572B,618148,832,MMUS28922980176922,
ciFr2415V,361565,657,VACF51096534802630,debit
NWqH5644u,,818,LEZE02446596936525,debit
WjJQ6257O,437106,698,PCPZ66231347960438,Credit
dolc7032E,690897,780,UOKB14730637429810,Debit
hFcC4276w,717029,611,ZBRO95839588046933,
hUjh8777w,287407,697,ITGJ02545285850287,debit
kVGr1342K,585268,793,DFMY79650676530788,
HXKl9390A,899598,677,UVML65156004006833,Credit
vbsR1371R,269486,648,NLYB50054833710412,debit
gujb1659f,708889,740,IYMD72128481082899,Credit
MQav7774c,1065871,608,VWQZ26413920071996,Credit
indZ9759P,394746,752,MTPA82160164566800,debit
JMyf4501z,900430,649,NQOV71562530456424,credit
fbnk4236y,418373,808,FCOD26209923984170,Debit
tFZB6421V,613706,633,OOXD34903752881399,
QgxG4925m,744281,712,HDYJ47736702360136,Credit
rKMB7767f,604682,847,BSLM59408552630115,debit
BOBf6592c,545368,679,KYZV08517872021961,Debit
PRTj8573F,665913,653,TQWB63629511526562,
DBfZ8814E,474971,692,BBHH66895227034788,
pHBs4224K,856754,606,BVFB45983524063927,Credit
GgGB0810A,436909,739,AAZD90559597826147,credit
wqLf1794X,708117,652,PWPE03478829902555,credit
lYlz8017c,587909,674,ZBNS46602833992233,Credit
LUDW1645Q,737545,605,RSZW74067494802973,Credit
Zlnl7945f,849554,842,NAPM22297462716124,credit
Ibaz9416h,631235,602,XEIB70499658709290,
SzQV0277M,735106,823,NACQ72379342562718,debit
xSRS7499R,937499,794,DCRM32189970289092,Debit
iamh6412b,920783,658,EHYB59893036401321,credit
PjPp3037B,,793,AEUC07151276853994,credit
XDjE8314B,886366,606,ZYDF32861994700256,credit
VSCF0122E,508117,738,QDAR78046350930369,
msKz0793d,897800,663,BDRV12375256136666,Credit
AFVL5016M,988903,602,FDLY75968321804782,
zFGL8407U,713886,844,VNST35256597938308,debit
HbBK9730u,309238,615,SRAX70362155984019,
EhFN8146P,866710,796,ZOMT28976020200210,Credit
ksUm5760E,603475,674,DXFP51467601427965,Credit
oLRv5738M,405462,787,NFSW48366503035559,credit
ARPV7246x,685435,612,YNBE07898794567765,
sSVf7293Q,665683,754,WIOF10520374168846,
kMFg7223Y,765759,738,FILF05740694001561,credit
nJdb6743w,283271,806,IXNW52206921791758,
GcZe4522v,805734,752,LXMB01071109341259,Credit
hJoF6193q,835742,791,IVLE14719154391816,Credit
rjSG5508M,691207,687,XHBV20151733311044,credit
WhgY1077N,706615,809,POJZ20906625798401,Credit
GgkO9180h,626713,708,ZXYE10133014056314,
TCWG3524F,507148,634,URKP68227832967874,Credit
ihmC1255A,720425,685,RTCZ68799456607366,
sGkf0375r,765115,812,STKQ20561890932826,
jWWH5653A,339114,734,GISY69281532484481,Credit
ADHY3266R,740048,759,WKQQ99905962737653,Debit
XaTZ5072H,,825,GKGK29373918701707,credit
zXkB1155d,697306,664,YEAZ80871597366538,Credit
dOTZ6029Q,553652,667,WKVR69485224270533,Debit
RSJt8466U,509778,795,IUWC18427566961090,debit
HNjS5504z,514193,676,VKEG58081589498982,credit
YNPC7389S,901439,778,DPFC24572748938846,credit
fcIv5634y,809265,686,SEHN13093963514691,credit
nfGJ2884t,616723,811,PKSF29515511589713,Credit
bYIL8520q,827072,683,UDXC09900083128807,credit
hUdx3468q,926300,651,PVVO12519457549596,
WPhC8510t,830827,623,FWBN04872540865057,Credit
pZVL9075K,923509,758,ZBVV35697214387220,
tsQY8935T,548073,611,EUEM19991264269655,Credit
Vpgu9268H,782479,694,FNUH13776179535918,Credit
gjTB9357A,776545,689,KDBR27394317792533,credit
iEnC1106e,704220,756,ZRAK64058189918302,credit
JHXz5869q,556015,775,QWZA75321207782641,credit
SFUA9767k,959996,817,RGZV52562047292482,credit
TDiT2827G,784899,758,DVPG21664831976015,Credit
EcVk8137J,294815,737,WIRV04129251525416,credit
hhxK5196s,627373,621,LTCK35090727552158,
xtxt0821s,1001422,728,WMNP74924347778339,Credit
YLAd7022t,651671,729,RYZN15187132622506,Debit
ahJw4327e,907970,691,RNSW80553600219272,credit
tKCv0679Y,925163,663,XOZF93715380554814,debit
WiGO6792D,616072,818,UYGV57568750946596,
fZNQ7725N,801546,783,VGEM83741533049923,credit
vIcQ6636C,,679,CZNE43156280090461,debit
KOYX4120T,880795,665,USBQ77030908767511,debit
fmNI4818K,802251,809,DRHT54772692773312,debit
WEGb0983h,757967,785,DRXJ76228687707348,credit
YnpT8204L,494424,674,GIZU48662721529623,debit
uzLc7189F,778512,743,NJCP07739638730721,Debit
AbHu0562y,821906,793,MAUC03314005625302,debit
Iksj4111l,,695,NPCF53799693449450,debit
ARkd4124N,387373,798,COJS12366081344659,Debit
tygu5200j,512843,822,QUQY24920728995884,Debit
hdmp6546W,877438,754,FAGI08959723744317,debit
GWGy9937h,436278,606,WYKM42979032844453,credit
JAeE4057b,713642,811,HGLN01046276868668,credit
JLRg6304p,,606,OCQQ15219873507775,Credit
ACfO8249G,836531,718,MMTN01919947421313,debit
kYpI3258B,518202,632,EWSE38422839623298,debit
DNsP8700k,845940,721,OQHK42446706592260,debit
MqRy0074w,862285,835,QOHS07634805041795,Debit
ckVI3984K,461644,762,ZGRN73058932303852,Credit
ShiU1416J,857753,670,YALU11285429615991,credit
GZuR4639v,471459,833,GPQV91856476986069,
Quvn4743D,853733,746,BNLT97494614695162,Debit
PaME9502a,841069,689,RJAS92656018575080,Credit
STFW0268z,221874,745,CBFK69618306709351,credit
bQCR8118h,916956,618,JECN03915565377814,Debit
ylXZ5695S,796819,704,NCFN92729941581654,Credit
mCao0175V,500219,748,GDNL20458667011990,Credit
fNOt0453Z,851271,711,PBGH03273902250987,credit
crFT3375T,395043,602,FIGL22011805959247,Credit
Ozhr9303K,934327,765,BNBD72607136692714,Debit
mQVK8728R,821661,847,EIMO81561473625370,Debit
LiVe9921i,715621,729,MNYU42053883114835,Debit
UYrm4938R,1015608,678,AWAP94925489174078,Credit
RJDa0894B,376248,625,HZQW61418399164341,debit
rhRH0566D,827419,618,HCOB34293364837578,Debit
Uodr7580A,771209,626,TEUI73533782334897,
zmvf8750K,581309,792,ASDW86203991802292,Debit
pmkv0361t,742953,846,GBBY48427024749173,debit
BZbL1107Z,,676,UTSZ18844934554649,credit
Epvd5431v,743785,671,TSIM57812135385311,Debit
NCWg8319O,1052155,767,NUWQ59564009541329,
dcyu7911S,1032966,791,JNTD75199061080185,credit
dtNO1207B,613235,613,TUIT39715311789355,credit
dsyz1108g,630538,775,QPZC65722145925362,Credit
YQNa9639D,682780,721,BDVC44150322657092,credit
NgvP6769R,,679,VRAQ45663897427099,Debit
Lmgg0785a,895465,607,QVZF84291143726275,Credit
KiOG9193q,,684,GKUH21865040738813,debit
Clpi5679Z,535359,644,CDTL91927928772547,Debit
LBGP0024W,808969,824,FODO52523562142329,Debit
XjjE5498t,501499,638,PJGX05866573310755,debit
aHLQ9545R,868405,691,FMCE03368582210365,debit
JdBw2038m,601012,712,SNNB72786356903646,Debit
mQES3315S,640934,823,XCMR46092494115786,Credit
KvNt7959A,531801,633,VRKB77114084755611,
YcFo5217a,1033188,691,EMDQ89149422874531,Credit
npEV3379X,731243,750,LPFL91019456614540,
laxa5636e,812670,619,QZFS08426408829083,Debit
jsCm5081O,509289,789,VXHF65048487362250,Debit
mmsl9500o,654156,661,YVKW34678676657891,Debit
plmb4258l,765893,800,GFNN42471719213809,
yPYh4102v,761548,604,OCQG01255333909268,Credit
xZxQ3473k,935258,795,DYAN31292763198343,Debit
hjiY8961m,646864,602,EBYI07643227039409,
uMBO3865p,,604,ZTUM14929289754126,credit
IsYj0993u,,789,DTGT89067112707461,Credit
GLFn3042U,556901,812,WDVQ64071927384348,Debit
kGyW1791P,514884,845,JZNC07650000110179,
DluT8578x,349015,653,IBBV52158140141145,Debit
rLzO8777Y,665762,768,OXOD75923599175423,debit
mCpz9033n,562582,783,LBMK75104128658150,credit
kxqJ4669f,1073695,719,JRUJ51987493268092,Debit
HwoL2147c,625189,685,BFAK67909924737015,credit
BCDB7895A,543224,645,YQJN12332617720830,Credit
yblC5754o,944322,804,ASAU95038318316105,Credit
sGGI4151P,996601,779,SCWO01488379438442,debit
hexc1431I,900728,747,DHVQ13023905485468,
qtVX3535R,583263,754,IQUM43819761920150,Credit
WTVI4392q,755029,674,KHJM84709497569413,
YzzL0445W,565104,796,SQZW85081886599440,debit
zooU0782V,786580,826,AIIO95399211441392,credit
LYJW3738D,598280,682,TYIN31292475699062,debit
mBXS7515A,777624,685,VQSS98448497095246,debit
bxiK3778i,544008,734,KPEM58159335819693,debit
voAB4075R,707404,637,BWRK45865044121370,debit
LbKY6845c,945130,715,QLDW46119447236152,credit
OZMM2259K,358804,682,YDTV95484586837112,credit
eIym6636E,435005,658,GZIV09840614484085,debit
Otfk1597g,802334,637,CMZW53170965677939,Debit
Fblm8209e,683780,796,EUTP40529398221597,Credit
sQHe6433D,612074,709,PTGS22807312344229,debit
kuAz0580k,491229,797,WALH55663398777143,Credit
EVey1286n,671856,640,BBXX56242307172576,
TQEk2346M,622894,657,AAQH67044650379677,Credit
GTRD9493r,,789,VJVS87968629415891,Credit
ezMZ3027p,531236,762,FMAC49572648241187,Credit
DDKc8597V,,717,GRSC00163561405959,Credit
STYt1475z,558757,783,BTIA57605848464267,
lNUB9263D,628159,802,QLHR66787974321065,
zScp6291k,765226,616,PPUI25433394282777,credit
SUUn4841F,704700,646,COGO15435390062677,
eWgG6815X,974076,718,HCJL82194043875449,credit
qnGc5672D,359197,784,FEDB88335304656117,Credit
vVzm0176z,444875,681,YVSE65123639555331,
TiuQ0041V,1072236,630,HMTA52447286477918,Credit
fJQp7771T,891897,835,JRHD83863797555320,Credit
kkbM7274g,479700,754,QCYN47008063717184,credit
Vzke2418Q,417288,788,EGPJ13889106841799,Debit
wlnT0427c,,749,VOSG07172892682343,Debit
OZHP8370Q,,759,KJRQ78689176670999,Debit
dMad1647X,882176,774,BQDR43171949117773,debit
pmfb6335A,457817,843,WDUL50622749000556,debit
RQeo0053g,623093,660,TZHQ83709345208145,Credit
Gguu2206J,693502,710,QCNV07920051265323,Debit
zBho3938n,859860,756,AEHR52027064138145,credit
azPu1552a,483019,691,MGYY57917408378659,
eQrP6373N,538280,729,WMLC62868768280596,credit
AtXM5013F,318972,777,ABVT12954538511736,debit
qgMu1892O,707877,673,PDBQ42587874196999,
OWSu6252Q,153375,625,CGKF23027682483591,
MLCy7150G,942759,708,RRMS46294672522363,Credit
obNW3890h,419833,799,XYRV07319294484907,Credit
Nfdi4363x,681695,653,YUBM99974625168312,credit
ynPc7432p,,681,CAOJ41314037605445,debit
ruPY9752W,545357,747,QSWQ10354789838577,Debit
WboU0864v,516082,705,AYFH66091554806566,credit
dQpZ5338R,777944,722,NUUX80780445117609,credit
ulCO3968a,466816,812,CUUO40402748174583,debit
dOjn1713i,455322,749,BXSE69607317463093,Credit
YnpG1298f,639006,695,ZXXA43170271860723,Debit
UmpB6742l,1055875,809,TUWU38749139179634,debit
KCOm9344r,1141539,837,NENA48183347256167,debit
ykEC7156B,650323,703,OYBM24876930345946,debit
YEbW8962y,435016,619,AMUH81719712547227,Debit
IjJU6149l,805837,688,VFAQ91610208604625,
DsyJ4674M,1014218,620,SWRK89878356359282,Credit
TEmj7152m,638748,611,YYNL96284555184257,debit
FzAz0085V,688231,755,SXKD46747324887739,Debit
PLeA5674c,541798,603,LWGB12830562759613,Credit
mWBq1692X,720926,617,JVAY58295128536218,Credit
SdPy5875B,628266,609,NXDT23557108175439,
xOTR3370b,720521,637,NVNL07257134816576,Credit
Rjqp2497M,600729,635,WBCU41493453193457,Credit
XfPT9201y,853672,797,OYBE89675657381313,credit
mBkB6918q,691007,743,YUCQ64272233950609,credit
LtUA4886W,833277,665,TPYW58494404426032,debit
jrVn1195V,951747,836,ZCUY21054593275271,debit
Fage6402X,716350,820,BSSX26725845292531,
UBkl6864x,413820,742,KBNS92456009611876,Credit
lGhC2237K,683238,712,GJVW95087986131447,debit
VlZW3230m,530984,803,UVFG60013401328048,
gOkf4679s,639957,844,RDLK28511916508176,debit
evbL1614p,783009,757,MNYD55774089169185,
drWa7710Q,611664,661,NSQY30599221567986,credit
HYay9013M,654890,606,DUMC27758476100754,Debit
WvMB8477v,320727,835,QNRX40444414410898,credit
xQzy5553N,1030035,723,CXKF70192784886905,credit
aDSz0551U,578405,670,ZCUB29476334083888,Debit
HrSW2091p,862123,810,PHYF43101001253515,
GAQm5797a,,737,SNWZ74398610703037,debit
ZVuR5050C,356178,654,RZTP17152359647440,Credit
VNYf3976w,656905,722,LNYW05941024376060,Credit
sMmT6716j,1163525,771,PUHT46199110583836,debit
iFYf8980t,554683,799,ARQJ60825721422010,
hEQI8727p,712393,716,RODI82933384422274,credit
gBTb3321k,,849,YKUP38895221436680,debit
UqQE5643Q,659921,698,SXAB65860231190999,
fYSv1287o,703789,740,ZLSP38763576398160,Credit
yTVV9915U,1130742,806,RQYC27989430490315,credit
oqhs6863f,717930,629,QEEL92808929963200,Credit
mVhK1159x,480848,608,GQCF37027416695353,credit
Vatd2569L,586071,661,DBPS54962113980677,debit
uXxZ8366R,550915,647,XCQZ40807713957787,Debit
ogza2899I,815469,820,DTMH21554722739384,credit
oFRD7524j,683074,817,ZQTR30377607409634,credit
MutG9420S,768869,814,PDNC16722627487916,
OnFs1497T,387324,830,QUYK34671400428157,
TnUZ6052o,434792,671,TXUT16136642401384,debit
tQkb0276J,1096645,722,GMDV76269569162035,credit
wWzz6567e,649612,848,AFSY51936275967993,Credit
SJzg8443i,784587,623,PKFE96848353962722,
DPkK5904i,812697,715,FAMO68709549274808,debit
nnZV7742m,833022,656,JOPX73177340524434,credit
RYjy0591B,,828,DCEA75593021932786,credit
Eldh2015G,,681,NACW62394374398275,Debit
OUzp5962c,817265,702,SPXY36373397870087,debit
tSMl1367P,420272,683,SCCF41974112529746,credit
rOPC6176x,571211,737,TOJQ34949351663198,debit
hFPQ0111G,649683,707,PBOQ30586984148390,Debit
KErS3099V,766340,812,SLHU41257095854794,
EPSB1926t,1067461,850,GTBQ62682047011615,credit
eTYI9215l,501139,608,ZMHS76598430388591,Debit
IYZH6068F,706163,850,WZTK20883713530127,debit
TYPh1898W,1038146,732,LWLR16255888576487,debit
SlaJ3129C,720837,815,HVPV69688363017819,Credit
KnPk5102f,908050,824,QAMJ63453111120964,Credit
hGtx8401I,824119,784,SKLH30681698277977,
tcHY2603s,1076425,826,XXLY45806525502864,
FSuH8729w,1192175,741,INNE99108531350215,credit
SgQc9883p,684908,646,PMOB70645056320814,
niMJ0324n,577125,637,BHRI09963423239911,Debit
UNBe9542J,623412,654,GVDZ49390839619324,Debit
zDfq4462R,591849,685,GRHX17142443778377,Credit
eOUr6283O,680141,825,DHCI52015638991855,credit
MkAj3598u,463077,629,MYIE71485816792690,Debit
perh6609I,751302,704,JKPD75226448558902,
vOfx1861v,547370,726,CCYP05500795301875,
agyo4234y,408062,612,JPWF66965806183407,Credit
UtLZ1128F,496548,751,PLWE09532238402755,
sJrM1859g,620099,821,MUZM21530949660810,Debit
lwZV0256R,872245,641,GUMW41297269763858,debit
ELiq8896a,685287,691,QUAT01679631396061,Credit
yKVr8222d,1039060,765,PYSQ99040808149814,debit
TDlC5396w,516457,845,YDKK28657031167436,credit
BHTo7844t,582041,712,VQXV80611891771392,
fOfe1465U,812726,713,BGJQ89423160327881,
dfVs3129J,805898,802,EGFC93559654006987,Debit
UiEF7068G,720568,846,BWMT65399350889652,debit
NmVa8160T,740347,658,BAYO26607192564229,Credit
VQHR6853M,741204,678,FGSA62149613302414,Credit
RWHo0972l,468510,727,EVGM78904499965711,credit
wdBF1528y,595236,681,OULQ20030899957783,debit
RpIX2515h,427915,825,NLWR35970439179006,
qnaV4474O,347186,735,EJCP48823011589264,Debit
PGcD9634N,1034402,753,FDBS96733918227467,credit
NDvt7050w,540511,838,JTZL63128598945572,credit
zwag1052B,826666,800,XLXI08988568249366,Debit
GjAh7318F,790131,623,BSHU48495603724493,Debit
Ezxt0243x,427359,701,BBVQ25072243306722,debit
gCQC6284k,630986,631,LAMY67164351397189,debit
wTmh2560m,590423,787,LEPQ36273594303194,credit
AVvc4026k,835667,847,KMBZ35377414178073,
AFJF3741Z,910864,754,SWCH63422753530469,credit
UVyi2568h,265950,726,YTGD42000077912513,Debit
wGaX1022R,702277,641,QZYR05108382832847,Debit
MVaB3056E,727904,650,VPMF44139303992533,Debit
WBpN4471j,749200,829,LABB64424324383965,Debit
XhqS8234p,597101,764,NYRP75500820814166,debit
SUGN6371l,730743,727,BSUR59737140457775,Credit
hizc3923r,747731,827,ZLQC32763573150492,debit
Nmfd3260y,1120847,620,ZFGJ74945741594885,
ovBE6843d,587684,730,SMLP58014327055984,
hrxr8604w,1037303,656,WKJN54413873207529,debit
lcad6350Q,953112,802,FQOO10614367300203,Credit
rMgB5347l,710548,652,ZOMJ88511124865988,credit
thgQ4755a,932041,680,YHBV85190474051257,Credit
VZxV8255X,590843,647,VMET39145504095693,
pPrn9895L,755744,734,RAYV46468988009632,credit
OVMh6112c,753945,605,LFKX53232202236047,credit
geIN9337v,459407,745,YGUV89532307967644,debit
Ujci4738m,747942,736,WTXB02665350075688,debit
wxCO6848T,423428,720,MJZW08007736416971,credit
AHGY1617b,930894,706,INBN21608681684750,credit
scKd2942Y,844079,750,SCZD75435085863448,credit
GekC3678W,537135,812,HXWH71495861153840,Debit
zMrn8686l,540873,816,OVFR95429019534667,debit
LSaY0293G,1024540,631,REWO26287760015025,Credit
tosT7884r,589711,712,ZDGO77970543696035,debit
cIps8123c,747366,666,VKCF49547782747140,credit
YdPp2424n,635921,753,TCGV74974725092654,Debit
OMxu8105f,727082,714,FGUN18212042723645,Debit
Nsud8426O,756761,848,DVNJ03522416256522,Credit
lqbI0534Q,221127,830,HLOV44063266105387,
OOMJ9164n,658441,801,EWIS21885758567161,credit
nLOZ7354W,921549,827,OAOJ88035419070612,Credit
UUBx6273j,628438,602,LECY55484513283897,
Dllm7172K,543312,698,XZNA48275950564578,Debit
tklz7240R,639533,694,FLTX65944648419579,Debit
eBpD9312P,893614,644,GNGD91021337168079,Credit
UWZa6182M,759900,819,UWFP15150943885538,debit
haWP1660c,893287,823,UIWB84740493360442,credit
jOMa2314Y,651819,801,LXBX39598715867866,debit
Tfmi0185E,850643,825,VWPG41471207750099,debit
vEjp9724d,678361,820,OWHR96551234835279,Credit
bcgI8481s,478218,712,OZEP21011414243063,Debit
aobo1862B,686215,753,WNGW07276944037025,debit
oRyR6254T,835206,809,LQGW09392854631265,Debit
ogsw1721e,910030,711,HCEA19817354421984,debit
fcMj9515l,572564,626,ELXL55965916461186,debit
lRBj6859Q,709587,639,IYMC55473695793632,Credit
grFQ4945x,944495,664,TNUB28251790180739,credit
XPju4102j,732259,806,CEEF75603010336498,
hKBU6771r,575856,762,BDQE64768182908683,
lXyw2152u,837769,792,JAFJ31025332338329,
MYOv7676i,789652,768,DOXS06374178992718,Credit
FIIF3668I,1218883,643,YBGN39467442395439,Debit
LTAH8361K,759110,637,GMVX70335969286986,
anbx3135J,831691,783,TRTO93556327605581,Credit
wxXi7210s,586252,602,JLLG74724594138036,debit
pnod7286V,422832,650,WHXS65198149835810,
UbSB2126x,900698,782,WCZC04118633248374,
EMkb0191j,863199,754,CDEK02865874154428,
eaKA5213j,591198,840,XCLQ56141333520099,
StEA2728U,778550,635,GYCD40160439389692,
hjdP5704c,531476,836,PVPR28138636570252,Credit
azBR9282D,570733,623,CYHJ16539520945741,
tToB8498k,664045,614,AQHT70668665899446,
iVnz4186N,651366,625,NYDZ38015488140191,Debit
VJMe0362S,790207,771,RJNJ94894665336930,
ykdZ7756x,645982,696,GVXF71817406629254,Credit
gexM6341X,857567,622,OGJC82392013027503,debit
kIge5034n,695195,679,GFQL10409348514276,debit
JmOc9043p,682032,728,PXST58914831566676,debit
cKYE4199c,834649,792,JGUJ91423204155153,debit
awWs0514z,353820,833,MCAE65265283519497,Debit
UwiS8356R,726739,621,RISE32420351026889,debit
gGZX1568j,,824,WWCC95860649105638,Credit
Lcsk0967j,698268,631,AAIQ19416983266007,debit
nZRP7113j,658535,720,UNUN02321653032073,Debit
PHXv2889C,601684,702,WMKD15691649112774,Credit
NBcT2545X,862177,828,ZVDW50325989941064,
MejK6339O,586827,744,PILQ24704396338206,
XtJZ7102Y,549095,666,LGYX56050911588161,debit
uksk1717e,683457,841,QDCA10138259392872,Credit
felT4955X,999654,680,IQQB50592365767584,debit
WCPi7474h,698276,770,JDBF47083387239673,Credit
szAN9705R,868816,642,DCOP72607275052146,Credit
Nuxf2758R,916768,726,XSQD89559239215182,Debit
RcNP6874d,849527,702,ATOL35340014482853,Credit
gsyk3802K,687873,769,VYQL74368109630154,Credit
DQfw6136D,785941,651,TGUR13772662142311,credit
flUg7871z,509690,603,URCW04731139583644,credit
euvM6365F,860315,756,PXNY39581258782044,Credit
DcIj3714E,779187,850,PRSO31940277126166,credit
cMXy2359d,634981,707,IPIE77713980472724,Credit
dnbW5673R,386920,695,HNLD41105331731158,credit
fjer6442z,498488,610,MOVW57787098109739,
HnQq1476l,626370,609,ASHI96547347519069,
Wtkm0165w,633910,836,RHJG10507746389093,Debit
SYkS6778B,596609,677,RRFJ03485452378262,Debit
JYMm5960e,732126,796,RYDB67625682182408,
QUVV9925U,587102,608,BTDK25226106549660,
jFuh5027Y,,627,CZNF01879631782032,Debit
CiOC6480O,,621,VOLO95385387560323,Credit
VmAS9103I,792191,711,RHMW97956122613060,credit
wnmR2963K,1128412,675,OASO80902471315304,Credit
ttGh0550S,1035793,689,AEON54251423815295,credit
wwIB7766H,581795,734,HLCO14554249298651,credit
BxlJ5127M,768926,842,XNRO50140083268045,
sQSR2866B,590621,624,YGVJ07760083285106,credit
ZgfP4911b,736137,804,QUOL59742989717270,Credit
VWNI9617g,720351,715,SLBP49369036971384,credit
QsAn7890o,810193,761,TEIA32644676111465,Debit
mEhw7861Y,545391,786,RSRR74800620891182,Credit
xYoG7660s,530929,758,LVIW96231913983992,debit
RpaA4446c,550024,715,TAPF78599785469039,credit
HVMu0025v,825473,811,RUCL63578940512851,debit
JzmN2963P,421046,798,DBXK37430174084784,Credit
iOyU6096l,642499,733,DQIM82761018073969,credit
BogT6582Z,1098188,825,QFZY65494897178988,
YzWO2819q,877652,633,QYID81687687556367,Credit
ffbB8253a,685077,632,FFSN49939946523203,
TIfK9209y,653400,750,IOGW84147696609564,credit
lpPo0275t,789899,669,NAAJ80952134501805,debit
XqQd3836r,532807,781,KADG05661353542958,credit
ghDM1209h,721207,631,VRYW41476443853553,Credit
lfeF1244x,,670,MSBA30008987261532,debit
YbAe3617F,273415,604,GIDN59135709334320,credit
uOCZ1366k,464760,708,TSAV16156492697811,Credit
QKOM2402c,680869,621,ABNA45908091476571,credit
NMIa1557k,654352,800,QGIS28247561810177,debit
MbIb8413H,670561,639,SVOE17428267440210,credit
hnbu8235i,693020,783,YFKM06442572658246,
rEmf3124w,520223,775,TABC60910164157609,credit
BGzm8477q,830761,652,CISP60620465177232,debit
gLYX2346L,503775,761,OYAU43576770814562,credit
BCBM4237V,,621,SWPF44951218179286,Credit
MyBm4591K,856607,669,VKIP93729075429860,credit
kcGq5517L,838886,781,NVQG54849002019378,Debit
wzbh6498l,614685,638,XMGO53381120615259,Debit
penQ5625x,652517,666,WMIM60321070301218,Credit
auSa5251T,524917,837,FEFJ58312663408473,Debit
YuoJ5379e,969583,622,WPMH88385298659353,Credit
HngJ6493r,608532,818,TWOP66359095221267,Debit
RWBu9196u,762631,781,ZXNC09765271875556,
FcrA3307h,837979,660,VGOC25771214178120,
uLyp1729K,1095937,833,LPFF61724681519689,Credit
aDsi0409z,582366,840,MDTN61400165489543,debit
vPbe0880E,594983,605,RJKS58362069144934,credit
uWwz1644f,498425,839,BACI49704696178989,debit
dztS8579D,851901,661,MNMU02734804000644,Credit
gbod7159a,205249,732,JFGQ88709525075362,debit
okfm2156U,783632,748,VHBP01210341426689,Debit
qYch5800d,319647,722,KFRU96405528093423,debit
SNYZ4145y,724826,713,FVUI52917619228642,credit
Dhiu4229j,826523,657,UIYG90936204310655,debit
HHpK9671E,769901,800,NQAT81751403334192,debit
ofqX7457s,749911,627,XVUT56174245901885,Credit
QPVn1583S,224603,641,DNTY92049865690199,Debit
naQn1170D,835820,698,QNVM72366183160115,Debit
vnLW6371H,479011,689,NQNZ60794088366981,
PjGg8547i,725101,606,WRUT13115353506401,Credit
NGmX3567z,498914,614,BUDJ95460951697055,debit
kRtK3146P,598713,715,VQAA70707579225957,Credit
Vhpb1271D,521510,841,TWNA35269381604093,Credit
QHCw2407q,878691,777,YJCC12913584237453,Debit
Bnjz1815G,692392,684,NPIA61467158911190,
Crxg6850d,590872,675,BGUH06459231760674,credit
mzlM6634r,898476,610,XFBQ93793599778631,credit
BgRd8978P,393894,706,TSBU83707673073947,
dcKr3131p,,784,WIFX10853710983928,Debit
oNST1814z,959715,658,GQXG77498781265801,Debit
USrF6613n,790737,627,XXSL92029222233703,Debit
TMsU2354a,649183,632,AQHR66677904147417,Debit
EVtS1289p,458261,803,OHQO59991182460355,
lvDj2512a,958952,639,INQX64055772697079,credit
lqek7650R,385262,683,EMUB48559074583441,Credit
LaFp0957E,918329,688,DKGR73765557579061,debit
RsoH1009G,511918,760,YKFT01721034378962,Credit
tZVv2211C,1021458,685,MPZU05296473265449,Credit
QFqx7584D,756549,844,NTUK48650866041616,
HXQM0545E,1191610,806,NYUE56271954815041,Credit
jAoQ1480j,884977,624,SQMX30778405941975,Debit
KVSB5703x,862277,631,ZCOZ85171842804898,Debit
OgrO3136R,226574,831,OCHC38926056405633,Debit
qRwv8782z,665886,747,ARYD41845826051927,debit
mcLH9644S,862621,718,ECRW93012601012790,Credit
YDKY5916Y,839640,643,BDCU00970066463285,debit
FRjD5410R,563264,706,KBDX44111543771253,debit
JQkt2849F,843653,654,OTAV41309117520925,debit
Dcns4140L,1268928,625,CVAE91023276332948,debit
aBwQ1074a,759726,712,KWCX73158466636414,credit
sYGQ0425X,421606,770,TOHG96003299240341,Credit
jUmB8214L,777602,644,LFMZ87632663924667,debit
EwpZ1430R,871067,778,VSCQ19554253806631,Debit
qtMt6661l,850363,713,QXLQ38587126422071,credit
iRXm9659q,,841,IZEL06970250236678,Debit
ttft2683K,888894,635,FEFR03309316109960,Debit
YBgi7826H,694867,603,MCKC37320412610012,Credit
DwBD7585A,798626,699,ANXQ17310182050556,
bXAf6708W,740429,819,WRPS67482236172929,debit
LGxi2943N,785059,693,KHXU61380796718095,
Wziz8940Q,734170,764,NUMJ50861024457808,Credit
dfdr0787P,863285,829,LMJX52019615658512,Credit
sKES1591v,484470,689,NJMD32321913872631,
VTdS0198n,965267,811,SNLS87117960286055,credit
ioRO8287j,677828,630,POWY61051231509154,credit
NSmh4407e,628449,833,AWIX94273828309176,credit
Hgpn0291g,852770,786,HTEF23174365721551,credit
zdht7087z,,759,RFJR41395943142868,
qNRC7238Q,699648,821,JNOR95474265492141,
Oblj9162V,436484,675,FCGM19857841385784,Credit
mEEs3288s,808568,748,BZBJ52726480807639,
Qrzy1975S,1075758,810,XSSU16240927470113,debit
jbsD1766h,,726,CELF09622732606619,Debit
tcPP9609Q,824393,653,TNYG67908521181942,debit
iDUD9705r,708072,729,ATAB64052084610258,Credit
GnwT0258H,775812,704,QKSP25654615622886,Debit
PjwP6812U,943475,649,EKTJ34596085278676,debit
rYWQ9572t,881748,708,YHOU43150375972747,Credit
EMQl6176K,608703,636,PUPT99041643453077,Debit
SuLL8842w,603074,780,GFTX96003088767419,debit
